FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat,GSI,ln(TL),ln(Mass),Predicted mass,Le Cren
MR034,P. blochii,18 July 2012,3,249,224,286.517768,M,2,1.284633414,0,0.004503801,5.517452896,5.657800552,306.0976847,0.936033764
MR035,P. blochii,18 July 2012,3,257,241,350.6361818,F,4,20.08417669,0,0.060759506,5.549076085,5.859749167,335.3204649,1.045674865
MR036,P. blochii,18 July 2012,3,272,247,410.0721881,F,3,15.44116921,1,0.039128118,5.605802066,6.016333213,394.9071072,1.038401641
MR037,P. blochii,19 March 2016,1,247,223,322.4632625,F,5,18.16316051,1,0.059688316,5.509388337,5.775989215,299.0619983,1.078248873
MR038,P. blochii,15 July 2012,3,205,185,184.0144668,F,2,6.323542822,1,0.035587315,5.323009979,5.215014378,174.7308765,1.053130794
MR039,P. blochii,18 April 2012,2,218,202,199.1719957,F,4,11.46581232,0,0.061083829,5.384495063,5.294168752,208.6239256,0.954693932
MR040,P. blochii,18 April 2012,2,209,193,204.8400534,F,5,20.05260023,0,0.108517109,5.342334252,5.322229447,184.7431742,1.108782797
MR045,P. blochii,29 July 2012,3,228,209,221.1849652,M,3,1.286399383,0,0.005849967,5.429345629,5.398999298,237.4258823,0.931595844
MR046,P. blochii,29 July 2012,3,231,209,225.871019,H,2,2.652134714,0,0.011881319,5.442417711,5.419964124,246.545752,0.916142408
MR049,P. blochii,15 July 2012,3,210,188,187.9491957,F,4,10.43142453,0,0.058762706,5.347107531,5.236171691,187.3034259,1.00344772
MR052,P. blochii,12 August 2012,3,196,177,122.6726276,F,2,2.252675249,0,0.018706827,5.278114659,4.809519243,153.5145929,0.799094244
MR055,P. blochii,01 July 2013,3,249,231,309.9847683,F,5,19.56005769,0,0.06734984,5.517452896,5.736523162,306.0976847,1.012698834
MR056,P. blochii,15 September 2012,3,246,224,244.7204153,M,1,0.455910885,0,0.001866464,5.505331536,5.500116397,295.5841334,0.827921352
MR057,P. blochii,26 August 2012,3,245,228,276.2780669,F,5,13.45062315,0,0.051176631,5.501258211,5.621407847,292.1327937,0.945727672
