FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat,GSI,ln(TL),ln(Mass),Predicted mass,Le Cren
MR426,P. blochii,26-10-17,4,175,156,98.5,F,2,0.1,1,0.00101626,5.164785974,4.590056548,110.7220859,0.889614743
MR428,P. blochii,12-11-17,4,201,188,149.8,F,6,5.1,1,0.035245335,5.303304908,5.009301071,165.0798466,0.907439661
MR429,P. blochii,12-11-17,4,261,235,354.6,F,3,6.1,3,0.017503587,5.564520407,5.870990394,350.5905071,1.011436399
MR433,P. blochii,29-03-17,1,185,172,132.1,F,2,0.87,2,0.006629582,5.220355825,4.883559212,129.9634972,1.016439253
MR441,P. blochii,07-04-18,2,199,185,167,F,3,0.813,2,0.004892079,5.293304825,5.117993812,160.3878594,1.041225942
MR442,P. blochii,07-04-17,2,200,182,155.6,F,3,0.81,2,0.005232896,5.298317367,5.047288612,162.722807,0.956227359
MR444,P. blochii,07-04-18,2,308,279,636.6,F,4,36.09,1,0.060098916,5.730099783,6.456141515,565.1272946,1.126471869
MR446,P. blochii,21-07-18,3,310,295,680,F,6,18.54,1,0.028028906,5.736572297,6.522092798,575.7732243,1.181020533
MR450,P. blochii,07-04-18,2,215,190,232.6,F,1,0.89,3,0.003841008,5.370638028,5.44932024,200.4526007,1.160374069
MR452,P. blochii,21-07-18,3,232,216,259.7,F,3,1.7,2,0.006589147,5.446737372,5.559527119,249.6357631,1.040315685
MR453,P. blochii,21-07-18,3,226,204,227,F,2,1.4,2,0.006205674,5.420534999,5.424950017,231.470145,0.980688028
MR458,P. blochii,29-12-17,4,173,158,115,F,1,0.385,1,0.003359072,5.153291594,4.744932128,107.1125767,1.073636762
MR461,P. blochii,21-07-18,3,212,193,207.5,F,2,2.519,1,0.012288944,5.356586275,5.33513134,192.4932218,1.077960034
MR462,P. blochii,21-07-18,3,207,189,184,F,3,2.47,1,0.013606566,5.332718793,5.214935758,179.6914778,1.023977332
MR468,P. blochii,21-07-18,3,182,167,117.8,F,1,0.495,3,0.004219769,5.204006687,4.768988271,123.979033,0.950160661
MR472,P. blochii,21-07-18,3,205,186,154.7,F,2,0.5,1,0.003242542,5.323009979,5.041487758,174.7308765,0.885361552
MR473,P. blochii,29-12-17,4,188,171,147,F,3,1.29,2,0.008853202,5.236441963,4.990432587,136.1335572,1.079821926
MR474,P. blochii,21-07-18,3,191,179,144,F,2,0.9,0,0.006289308,5.252273428,4.9698133,142.4918693,1.010583977
MR514,P. blochii,31-05-19,2,227,208,252,F,3,3.1,3,0.012454801,5.424950017,5.529429088,234.4356602,1.074921792
MR515,P. blochii,31-05-19,2,240,218,275,F,4,7.5,2,0.028037383,5.480638923,5.616771098,275.2706381,0.999016829
MR517,P. blochii,31-05-19,2,246,218,276,F,3,3.7,1,0.013587954,5.505331536,5.620400866,295.5841334,0.933744301
MR518,P. blochii,31-05-19,2,251,222,283,F,3,3.3,1,0.011798355,5.525452939,5.645446898,313.2406143,0.903458833
MR521,P. blochii,31-05-19,2,218,195,186.5,F,3,0.8,1,0.004308024,5.384495063,5.228431239,208.6239256,0.893953076
MR524,P. blochii,15-11-18,4,189,186,173,F,2,1,1,0.005813953,5.241747015,5.153291594,138.2319467,1.251519668
MR525,P. blochii,15-11-18,4,176,164,119,F,2,0.5,1,0.004219409,5.170483995,4.779123493,112.5562418,1.057249231
